Study,Prev Score,Sleep,Practice Tests,New Score
3,72,5,4,79
8,99,9,7,100
4,61,5,3,57
3,68,3,2,61
5,58,5,3,63
3,58,3,3,58
4,45,3,0,37
6,84,5,5,93
3,58,5,4,63
2,52,2,1,33
6,98,5,8,100
3,65,5,5,63
5,61,4,4,69
4,60,5,2,51
4,75,6,7,83
4,95,4,6,87
3,41,4,2,41
7,86,6,6,94
5,83,5,5,88
3,69,4,3,56
5,66,3,3,56
4,46,3,2,42
4,59,5,4,60
5,89,4,7,100
4,70,6,5,64
4,62,4,5,69
4,52,4,3,45
3,56,3,2,41
4,43,3,2,44
6,96,4,6,100
4,53,4,2,50
4,59,5,4,53
6,99,6,7,100
3,52,4,2,55
4,42,4,2,35
5,65,3,3,55
5,65,5,3,68
4,57,3,2,61
6,71,4,5,67
2,53,2,2,43
5,86,5,6,90
3,42,3,1,39
2,40,4,3,24
4,65,5,3,57
4,63,4,3,51
5,88,5,8,100
6,74,6,6,68
2,53,2,0,34
3,42,3,2,33
3,52,4,2,43
6,86,6,5,87
5,89,6,6,82
4,53,3,0,46
3,60,3,4,58
5,65,4,4,69
1,42,3,0,31
6,90,4,6,82
5,79,3,3,82
3,43,2,1,40
5,75,6,6,77
4,90,6,4,81
4,82,6,6,75
2,40,2,1,23
6,79,6,5,83
4,86,5,5,79
5,72,3,6,65
5,46,4,4,45
6,92,5,7,90
6,91,4,5,81
7,91,5,8,97
5,95,6,5,92
5,50,5,2,50
3,66,3,3,64
4,53,5,3,49
4,61,5,5,69
5,55,5,3,52
7,85,6,7,82
5,51,4,3,57
6,88,5,7,82
6,85,4,4,86
3,49,3,4,40
4,63,4,5,57
4,85,5,5,82
2,57,4,3,46
5,61,5,4,65
2,48,4,2,45
5,56,4,4,44
6,77,6,5,89
5,79,6,4,75
5,97,4,8,99
3,52,5,2,39
6,89,4,4,88
6,76,4,5,75
4,45,4,3,50
6,60,6,4,68
5,90,6,6,92
3,75,3,3,71
3,46,2,2,42
5,75,3,4,65
5,64,5,5,56
4,50,3,3,54
5,83,5,5,88
4,53,4,3,49
6,84,6,5,88
3,68,5,3,72
4,49,3,3,44
5,89,5,4,84
4,87,5,6,95
4,44,4,1,43
2,47,3,1,37
4,85,5,5,74
4,44,3,1,34
4,97,5,6,100
4,99,6,5,100
5,63,4,3,60
5,79,6,4,74
4,96,4,6,100
6,65,5,4,73
2,45,2,0,36
3,55,2,1,44
7,99,8,7,97
4,75,6,5,79
4,51,3,1,49
2,50,2,2,50
4,42,4,0,41
4,83,5,5,78
4,76,4,5,67
1,45,1,0,41
5,58,4,4,59
4,57,5,4,59
4,55,3,3,53
4,62,3,4,55
4,82,4,4,77
4,76,4,4,78
4,48,3,2,35
1,42,3,1,32
3,47,2,0,40
4,77,6,5,85
4,43,2,2,41
4,51,4,2,46
4,83,4,5,79
4,70,3,3,64
4,64,5,3,56
6,92,4,5,82
4,55,3,2,58
4,81,6,4,83
4,93,6,4,82
2,53,2,3,45
5,52,5,4,52
6,80,5,4,83
3,46,2,2,29
3,51,2,1,46
6,76,5,7,74
6,89,5,5,84
4,43,4,1,35
2,41,3,1,41
4,74,6,4,64
7,97,6,9,100
4,83,4,7,89
3,42,3,2,29
2,43,3,3,37
3,77,4,5,69
4,51,2,1,52
3,58,5,4,49
3,49,4,3,35
2,40,1,0,28
5,56,3,4,50
5,55,3,5,56
3,48,2,0,34
6,96,6,6,90
4,92,4,6,90
2,48,4,3,38
5,98,4,4,94
6,94,6,7,90
5,48,3,4,43
3,51,3,1,40
6,94,7,7,96
3,80,5,4,75
5,54,3,2,41
2,41,4,2,42
3,50,4,0,33
3,50,3,2,52
3,47,3,2,42
7,94,6,7,100
3,71,4,3,66
2,45,3,2,38
5,92,6,7,85
3,59,3,2,49
4,78,5,5,67
6,74,5,6,82
3,47,3,1,32
5,89,5,5,93
6,88,5,5,85
5,82,4,4,89
5,73,6,7,85
8,96,8,7,94
6,92,6,8,92
7,98,5,7,100
6,95,6,6,100
4,58,3,1,56
5,46,3,3,37
4,70,4,3,71
3,57,4,2,42
5,79,5,3,73
4,53,3,2,45
4,78,4,5,71
7,99,6,8,100
4,92,5,7,100
7,99,6,6,94
5,98,5,6,100
4,75,4,5,65
2,56,2,3,43
5,76,5,3,74
5,83,5,6,92
2,48,4,1,44
6,97,5,5,100
4,59,4,5,63
5,84,4,5,85
9,96,8,7,100
3,67,4,4,62
5,89,7,8,98
5,59,4,3,53
6,80,6,6,80
3,75,3,5,72
5,92,5,6,87
5,66,4,5,72
4,47,2,1,47
5,71,4,4,71
2,40,4,0,26
3,56,3,0,45
6,96,7,8,100
2,48,3,2,36
2,59,4,1,60
6,84,5,4,92
3,71,3,2,62
2,41,3,3,30
5,71,6,4,75
6,84,5,6,84
2,48,3,1,42
3,69,5,4,68
4,59,4,3,64
4,77,5,4,84
8,99,7,9,100
2,40,3,2,33
4,99,6,6,91
5,96,6,5,97
1,44,3,-1,41
4,74,5,5,75
6,75,4,6,74
2,40,3,-1,39
5,53,5,4,44
5,48,3,3,45
4,69,4,3,58
4,63,3,2,51
1,43,1,0,30
6,89,5,5,90
3,53,3,2,40
5,64,3,4,52
5,43,4,4,47
3,64,2,4,61
3,49,3,0,33
4,74,6,6,84
7,94,8,9,100
1,46,2,0,37
4,81,6,7,92
5,52,4,5,57
4,43,3,4,44
5,89,5,6,84
6,82,5,6,83
7,96,5,6,97
4,75,4,4,75
5,95,5,7,95
4,53,2,4,52
5,57,5,4,47
4,47,3,2,47
4,71,3,5,61
4,66,4,4,59
5,81,5,4,87
5,76,4,5,85
5,62,4,4,64
4,46,4,2,32
2,51,4,2,35
4,64,6,6,75
3,42,3,0,26
5,65,4,3,57
3,43,2,2,31
5,81,4,4,89
4,75,4,2,74
5,54,3,2,39
3,71,4,4,65
4,68,5,4,74
3,49,4,3,53
2,60,2,1,49
6,93,6,6,88
3,55,3,2,44
4,86,6,6,78
4,58,4,4,65
3,68,3,3,52
7,91,5,8,88
4,90,6,5,100
5,57,4,5,57
4,97,6,7,100
5,83,4,4,82
7,96,9,9,100
4,55,3,1,56
2,40,3,0,20
5,87,4,5,88
5,41,5,4,41
7,95,5,8,94
2,54,4,2,42
6,78,6,6,88
4,67,5,4,61
2,40,2,2,33
4,44,3,1,32
5,81,4,5,74
5,61,4,3,61
5,92,6,6,100
4,75,5,4,71
4,85,4,6,90
4,52,3,3,57
1,40,1,1,34
4,55,3,1,40
4,94,5,6,87
5,80,5,4,86
5,61,4,2,48
3,71,4,4,75
2,55,2,2,48
6,90,5,4,88
5,54,5,2,51
5,97,5,7,97
4,85,4,4,76
5,91,5,6,100
4,81,4,6,81
6,92,6,5,91
2,51,2,1,46
6,99,5,5,100
2,40,3,2,26
8,92,7,7,96
5,56,5,4,52
5,80,4,6,79
5,94,6,6,100
6,90,7,7,87
6,96,6,7,100
7,89,5,7,95
5,67,5,4,65
2,46,3,0,36
3,48,3,2,39
4,61,3,5,48
5,65,5,3,56
6,92,4,7,95
3,51,2,2,53
4,46,4,2,37
4,85,5,6,82
5,86,5,7,87
4,54,4,2,41
5,77,5,5,79
5,60,5,4,50
3,53,3,4,46
3,41,2,4,28
2,47,4,2,39
6,84,6,7,86
7,94,5,7,90
3,45,4,1,46
5,76,4,2,82
5,76,5,4,83
6,96,6,5,100
5,72,3,3,64
5,80,4,5,74
2,45,2,2,38
6,91,6,7,100
3,65,5,3,63
5,78,6,6,74
4,80,3,3,70
3,76,3,4,69
3,53,3,2,44
5,76,4,4,84
3,47,4,2,47
5,78,5,3,71
3,52,2,3,54
4,52,4,2,52
6,79,6,5,88
3,82,4,5,71
2,67,3,1,49
5,97,6,6,100
5,57,5,3,59
4,96,6,6,92
4,58,3,4,52
5,77,6,5,85
4,71,4,5,60
5,61,5,5,64
2,41,2,3,32
7,99,7,7,100
4,52,5,4,59
2,62,3,3,65
4,64,5,4,66
4,67,4,4,55
6,97,5,6,100
2,50,4,2,41
5,72,3,3,76
3,63,4,5,70
2,41,4,1,37
5,69,4,5,59
3,56,2,3,51
4,79,4,7,89
6,73,4,6,79
4,77,4,3,68
5,61,4,4,57
2,44,2,3,33
4,87,4,7,84
4,79,4,4,73
6,90,6,6,83
4,55,2,3,45
4,52,4,1,47
4,65,4,3,59
5,70,3,4,61
7,91,5,8,88
5,78,5,6,75
4,87,6,6,98
4,62,3,3,67
7,87,6,7,96
5,51,4,3,54
2,53,4,2,36
5,95,6,4,85
4,57,4,3,62
5,66,4,4,73
4,67,4,3,65
3,57,3,4,47
4,55,4,2,51
7,91,5,7,86
2,55,2,3,51
3,52,2,1,44
6,97,6,8,94
4,68,3,3,69
3,48,2,3,36
5,65,3,5,67
3,67,5,4,59
6,80,6,6,73
3,52,2,0,43
5,75,3,4,71
3,48,4,0,38
6,86,5,4,95
3,53,2,0,48
6,90,6,8,100
2,51,2,2,45
7,92,6,6,97
5,97,5,6,89
5,96,4,7,91
3,71,5,5,65
4,77,4,7,83
2,42,2,1,38
8,97,9,9,100
9,96,9,7,97
6,93,4,4,98
7,91,5,8,100
2,55,3,3,58
2,59,4,3,63
4,71,6,4,63
6,95,5,5,88
3,62,3,3,65
5,56,4,3,46
4,55,5,3,47
4,77,6,5,80
5,47,5,4,45
3,58,4,3,43
4,69,2,3,55
7,96,7,9,100
7,97,6,6,91
5,73,5,5,78
3,53,3,2,40
3,61,3,3,54
4,83,3,3,69
5,56,3,4,62
7,99,5,7,100
6,98,5,5,89
3,54,2,2,55
5,89,6,5,87
5,87,4,5,77
4,71,5,3,64
2,52,2,2,49
2,60,2,3,42
5,88,7,8,100
4,79,3,3,81
4,72,4,3,72
8,96,8,7,93
5,97,6,7,99
4,66,4,1,56
4,74,5,7,81
5,55,5,4,53
3,67,4,4,73
4,73,5,5,82
6,86,6,7,93
2,40,4,2,38
6,80,5,5,78
5,87,4,6,93
5,70,4,6,62
4,75,5,6,75
6,83,4,6,91
3,72,3,4,64
5,72,6,5,82
4,78,4,5,75
3,57,3,3,47
4,62,4,3,48
7,99,7,6,97
4,62,2,4,47
2,54,4,3,42
5,65,4,5,72
4,69,5,4,73
4,64,5,4,62
4,84,6,5,83
2,55,4,2,56
4,78,6,7,74
5,87,5,6,83
4,84,4,4,90
3,53,4,2,40
4,56,2,1,48
4,51,2,0,42
4,68,4,4,58
5,71,4,3,67
4,95,5,7,87
4,63,4,3,64
5,91,5,5,100
3,52,4,4,53
7,95,6,6,100
4,59,3,2,51
4,54,4,3,50
6,95,6,6,96
5,92,5,7,94
3,43,4,1,36
6,93,4,6,100
4,73,3,4,78
4,67,6,4,63
4,89,4,7,99
3,41,2,3,28
5,96,4,5,96
5,86,5,4,84
3,69,4,5,57
4,65,4,3,63
4,90,5,6,93
6,86,6,7,81
4,65,4,6,58
3,59,4,2,62
5,81,6,4,86
3,67,4,3,66
5,95,5,8,91
3,59,4,1,45
4,50,5,3,43
6,97,5,6,89
3,49,3,2,52
5,62,4,2,48
3,76,5,4,78
5,80,5,4,73
6,91,5,7,86
2,58,3,2,40
4,84,5,3,90
4,57,4,4,55
5,88,6,8,83
3,66,5,5,60
4,45,2,1,28
4,49,5,4,53
1,41,2,-1,38
3,63,5,2,66
5,77,4,5,76
3,67,4,4,65
5,67,6,4,66
6,92,4,4,88
5,84,6,4,85
6,89,6,5,96
6,78,5,4,77
2,41,4,1,29
5,85,3,6,80
4,44,4,2,41
5,89,7,8,88
2,50,4,2,47
2,49,3,0,33
6,82,6,6,77
6,98,5,6,93
2,41,4,1,35
3,54,2,2,43
3,78,4,6,73
6,80,4,6,86
4,76,3,3,65
4,46,4,3,38
5,59,4,2,60
5,73,6,4,65
4,74,5,4,72
6,73,5,4,66
6,92,5,7,95
4,61,3,3,64
3,70,4,4,56
3,62,3,3,51
5,58,5,4,54
3,43,4,1,46
4,63,5,5,58
3,59,3,3,57
4,78,5,7,86
5,67,5,5,72
4,93,5,7,100
4,78,3,3,65
3,56,5,3,52
3,58,4,3,44
4,93,5,5,94
4,87,4,5,84
4,74,4,2,75
4,71,5,3,76
5,86,4,5,81
5,85,4,6,80
5,86,6,4,83
3,85,4,3,77
6,78,6,6,87
6,96,7,8,99
4,74,4,4,65
3,69,3,4,68
4,56,5,2,43
6,81,4,4,72
4,86,4,6,84
5,68,4,2,59
3,45,2,3,47
5,99,5,5,100
4,56,3,3,61
4,56,4,3,42
4,53,3,4,40
4,63,5,4,51
4,96,5,6,95
7,89,5,8,100
5,96,5,6,100
4,76,6,7,81
4,79,5,6,79
4,78,4,6,82
6,94,6,6,90
4,71,4,5,61
4,75,4,5,74
6,89,6,6,98
6,76,6,5,87
4,87,4,5,86
4,53,2,2,40
4,66,3,4,64
8,98,9,8,98
5,58,3,2,54
4,70,6,4,71
3,85,4,5,74
3,48,3,-1,48
5,77,6,4,73
5,56,4,4,44
3,58,3,2,60
4,83,6,5,78
2,43,2,1,34
6,87,7,8,85
6,96,5,7,98
3,50,4,2,49
5,61,5,4,61
4,43,5,4,48
4,56,3,3,57
3,47,2,0,31
6,85,4,5,79
7,98,8,9,100
4,73,3,4,77
5,50,5,4,58
3,70,3,2,63
3,50,2,3,45
6,95,5,6,100
5,93,5,7,99
7,95,7,7,100
5,77,5,4,68
5,92,6,7,100
4,60,4,2,59
6,85,6,6,81
4,69,4,3,73
2,49,4,0,36
3,65,4,2,65
4,66,3,4,57
3,47,3,2,38
5,78,5,5,87
3,47,4,1,31
5,99,4,7,100
5,47,4,3,54
6,94,7,6,100
4,73,4,6,81
7,98,8,10,100
2,55,2,1,36
5,80,3,5,83
3,52,3,2,38
3,62,2,2,63
2,51,2,1,35
4,66,4,4,53
3,61,5,5,51
5,71,4,6,61
8,96,7,9,100
5,88,5,7,90
4,66,4,2,64
4,41,3,1,36
5,84,6,5,82
5,72,6,5,75
3,65,3,2,53
3,67,3,4,54
3,58,3,3,50
3,82,3,4,80
2,44,3,-1,36
6,72,6,6,83
3,59,4,2,58
4,69,3,4,70
5,84,7,6,78
4,47,3,2,50
4,77,5,6,79
3,56,3,3,42
4,83,4,4,89
2,40,4,0,28
4,42,4,1,32
6,85,6,6,82
5,65,3,3,58
5,70,4,4,74
4,47,3,1,43
6,82,4,5,76
7,98,7,6,100
5,85,6,4,78
4,47,2,3,46
6,74,6,6,83
4,78,5,5,77
6,67,4,4,62
4,90,4,5,91
2,43,3,3,35
6,96,7,8,100
5,55,4,3,61
3,52,3,4,40
5,59,4,2,45
5,90,5,6,94
4,44,4,3,36
7,94,5,8,100
6,76,6,7,80
3,59,5,3,56
3,63,2,2,47
4,75,4,4,65
5,73,4,5,79
7,97,5,7,97
4,84,4,4,85
6,87,5,4,87
7,93,5,8,100
5,73,4,4,74
4,58,5,5,57
3,56,5,2,60
3,44,3,1,34
4,64,4,5,70
2,57,4,2,44
8,99,7,9,100
5,94,5,6,98
5,92,5,6,98
4,89,4,5,91
5,47,5,3,41
4,66,5,4,66
4,54,4,4,49
5,84,6,6,80
4,52,3,2,37
3,55,4,2,47
5,61,5,2,54
2,59,3,1,48
3,52,4,3,56
3,59,4,5,52
1,41,3,1,36
4,74,3,3,69
7,86,5,6,97
4,94,4,6,88
3,58,4,4,58
4,84,6,4,84
5,76,4,7,80
7,97,9,7,100
4,93,4,5,97
2,45,4,2,47
4,53,5,3,49
2,43,3,1,33
3,61,2,2,43
5,90,6,9,95
5,94,5,5,100
6,78,6,5,83
6,75,6,6,69
4,73,4,3,61
4,66,4,4,68
3,46,2,1,42
2,42,3,1,23
5,86,5,8,85
4,72,5,3,79
2,41,3,1,32
5,81,5,7,91
3,55,2,3,43
4,64,5,3,54
7,99,8,7,100
5,54,4,4,56
5,63,5,3,59
5,54,3,4,54
5,70,4,4,58
5,53,4,2,45
6,93,7,8,90
5,53,3,3,56
4,45,3,3,36
4,53,4,2,54
5,56,5,2,44
4,57,2,3,43
4,59,3,4,55
6,90,6,7,100
2,56,2,2,52
4,55,4,3,50
6,79,6,7,89
3,78,5,3,65
4,91,4,6,98
4,71,5,6,69
5,99,6,8,100
6,83,5,7,87
4,48,4,3,35
5,66,4,2,62
6,85,4,5,82
7,91,7,6,89
5,72,3,4,78
3,49,4,0,49
2,56,4,1,44
5,88,4,6,93
3,88,4,5,81
3,75,4,3,60
4,56,5,4,45
3,57,5,5,57
4,91,4,7,81
5,62,3,3,57
5,73,5,5,73
3,47,2,2,34
2,52,4,1,42
4,62,4,5,70
5,96,6,4,100
5,93,5,6,87
4,59,4,1,54
2,61,3,3,54
6,86,4,6,86
6,91,4,6,83
4,62,4,4,64
6,80,5,5,71
5,74,4,4,75
1,42,3,-1,29
5,73,4,4,76
3,72,3,3,62
4,85,6,5,92
4,56,3,3,46
4,84,4,5,89
5,58,4,3,48
5,69,4,4,62
5,62,4,5,66
2,54,3,1,55
6,98,6,6,92
6,96,4,7,100
3,53,4,1,41
3,41,4,1,30
5,78,5,4,87
5,88,5,5,88
3,57,4,1,49
3,45,2,3,32
6,98,6,6,100
5,71,3,5,78
4,60,4,2,61
4,79,4,5,70
4,67,4,3,63
4,66,5,3,67
2,41,3,0,34
5,72,4,3,63
2,55,2,2,38
5,78,4,4,82
3,61,4,2,45
5,95,6,6,100
4,82,4,5,75
6,86,5,7,80
4,52,3,1,48
6,95,5,7,100
2,41,2,1,38
3,53,4,4,43
7,95,7,8,100
4,77,3,3,68
4,80,4,5,73
6,67,4,6,67
2,46,3,3,42
5,57,5,3,47
6,95,5,6,95
5,80,4,7,73
7,94,9,8,100
5,75,4,5,78
4,80,4,6,89
6,75,4,5,84
5,83,5,6,75
4,43,3,3,38
5,96,6,7,100
4,69,4,6,69
3,63,5,4,55
5,59,5,4,64
7,85,5,6,90
7,95,6,7,100
5,70,5,4,79
3,63,5,3,65
5,46,4,2,34
4,65,3,4,64
3,52,2,0,41
9,93,8,8,93
3,47,3,2,45
6,94,6,6,100
2,44,3,1,27
4,83,5,4,77
3,52,5,4,49
3,68,3,4,67
4,59,4,2,53
3,53,4,2,50
4,71,4,4,76
8,99,9,9,100
4,89,6,5,85
5,66,5,5,62
8,95,9,7,91
4,64,5,5,71
6,91,5,7,96
4,43,2,1,37
2,60,3,1,45
3,57,4,3,58
5,78,5,4,69
4,54,4,3,41
5,92,6,7,98
6,77,4,7,75
5,87,4,5,79
6,91,6,5,100
2,63,2,3,48
4,47,5,3,53
5,67,4,5,67
3,60,5,4,53
5,55,4,3,42
4,99,4,6,100
5,93,4,5,97
4,55,5,2,44
3,74,5,4,74
5,56,3,5,50
3,48,4,3,39
5,96,7,6,100
4,74,5,6,79
5,91,4,5,84
4,68,4,4,74
5,78,4,7,85
2,57,4,1,53
3,51,3,3,46
3,58,4,4,55
4,87,6,7,81
2,61,2,2,54
4,98,4,5,96
6,95,6,6,100
6,88,6,6,96
6,91,4,7,94
2,54,4,3,40
3,40,2,-1,27
4,41,2,1,25
4,47,4,1,48
2,61,4,3,64
4,64,4,3,66
3,41,3,2,41
6,90,6,5,85
2,48,4,0,36
3,48,3,0,37
4,52,5,3,46
4,45,4,3,48
5,69,5,6,66
3,54,3,4,40
5,90,5,7,99
4,92,4,5,87
4,54,2,1,56
5,89,5,4,96
4,46,2,2,38
7,97,5,8,99
4,50,4,2,48
5,79,3,6,83
6,77,5,5,79
4,79,5,5,69
4,41,3,2,44
6,90,7,8,90
6,87,5,5,90
6,78,4,5,71
2,49,4,0,34
6,83,4,7,94
4,56,5,2,52
2,46,2,1,36
6,93,4,6,99
6,79,4,7,83
4,78,5,5,76
3,43,3,0,44
4,74,6,5,83
5,90,4,5,86
4,86,5,6,87
4,75,3,3,78
6,70,5,5,64
3,64,5,4,59
6,80,4,5,72
3,52,3,2,41
4,57,4,5,59
3,60,2,2,53
4,87,4,6,96
4,40,3,2,33
3,75,5,3,71
6,89,6,7,100
2,47,4,2,46
6,91,7,7,99
7,87,5,8,98
4,60,3,4,59
5,82,6,5,85
4,91,6,5,98
6,92,5,7,97
5,92,5,6,84
4,60,4,3,51
4,66,6,6,61
3,58,3,2,42
3,62,4,4,61
5,90,4,6,82
4,89,4,6,86
7,90,7,6,99
5,82,4,3,71
5,74,4,4,66
3,79,5,4,84
6,91,5,7,100
4,90,5,8,94
4,81,4,5,88
4,87,4,4,85
2,44,3,1,34
5,91,5,6,96
4,80,5,5,69
3,47,3,3,34
4,50,4,1,38
3,55,4,3,49
6,78,4,4,79
6,86,4,6,85
6,63,4,5,53
5,60,5,5,63
4,91,6,4,96
3,62,3,3,56
5,88,4,5,88
6,77,4,4,66
5,86,4,6,76
4,47,2,2,39
3,46,2,2,47
2,41,4,1,33
3,69,5,5,70
4,52,4,5,44
4,62,3,2,56
4,68,4,2,67
5,77,4,5,75
5,76,4,5,70
3,59,3,2,58
5,72,4,5,73
4,68,3,4,70
4,89,5,6,90
3,54,4,3,54
4,62,4,2,67
4,81,4,4,83
2,42,3,0,42
6,76,5,4,78
4,95,6,6,86
4,68,6,4,72
4,84,5,6,84
4,47,4,4,52
5,61,3,2,65
6,92,6,7,92
5,68,3,2,72
2,41,4,1,41
6,80,5,6,76
4,88,5,7,92
9,98,8,7,100
6,89,6,4,88
5,84,5,4,89
1,40,3,1,38
4,83,6,6,91
4,59,4,1,43
7,91,7,6,100
2,60,4,1,53
3,76,3,5,81
4,47,4,2,44
3,66,3,5,53
4,86,4,7,80
4,98,6,6,96
4,74,5,3,73
3,45,2,2,36
4,99,5,7,100
5,84,5,4,85
5,83,4,5,79
4,58,3,3,56
3,57,2,2,56
9,95,7,9,100
2,40,3,3,24
5,64,4,2,57
5,66,4,3,56
4,46,4,3,38
5,83,5,5,77
4,81,3,3,75
3,68,4,5,74
3,70,4,5,59
6,83,4,6,78
5,82,6,4,87
3,75,4,4,80
3,58,4,3,50
3,45,2,1,43
3,64,3,3,62
4,70,5,4,62
4,48,3,4,50
3,59,5,2,60
4,49,4,1,44
5,76,5,4,72
3,66,4,4,65
2,52,3,1,48
6,80,4,7,77
4,41,2,3,28
5,89,6,4,87
3,60,5,3,54
3,72,5,5,65
2,63,2,3,48
4,92,5,7,100
4,83,6,6,75
5,81,5,3,72
6,73,5,6,85
9,99,7,8,100
4,48,4,2,46
2,41,2,2,25
5,94,5,8,97
5,95,4,5,85
4,69,4,2,59
4,61,3,3,62
6,85,6,6,81
5,50,5,2,41
5,94,6,6,95
6,82,6,5,77
5,56,5,3,47
5,75,4,6,75
5,52,4,4,52
2,46,3,2,44
4,55,4,1,58
3,72,3,5,72
6,84,5,5,89
4,40,3,1,33
3,50,4,5,47
4,45,2,1,39
3,59,5,4,48
6,74,5,6,85
4,83,4,7,85
6,76,4,7,76
5,80,4,6,89
3,65,3,2,52
7,97,6,7,92
2,51,3,4,44
4,69,3,4,69
5,67,3,3,64
5,66,5,4,68
5,81,4,4,71
5,58,5,3,63
1,44,1,0,32
6,97,5,7,95
3,44,4,1,35
6,80,7,8,90
4,66,4,4,59
3,67,3,3,55
5,65,5,5,62
4,66,4,6,75
6,91,6,6,84
4,88,6,5,78
4,81,4,5,84
3,60,3,2,48
3,40,2,2,33
6,93,7,8,94
6,67,6,4,63
6,87,6,7,82
7,97,8,7,92
4,97,5,6,100
3,54,2,2,37
5,94,5,7,97
5,56,3,2,43
3,65,5,4,65
3,59,5,3,51
3,64,5,4,60
4,52,2,1,43
3,72,5,3,70
3,64,4,1,59
2,47,3,1,39
4,44,4,2,42
4,45,5,2,31
5,62,3,4,51
6,91,4,5,82
3,69,4,2,66
4,53,4,1,48
7,93,7,8,96
2,62,4,1,55
3,50,4,2,53
6,70,6,6,74
3,45,5,2,47
4,50,2,3,54
5,52,3,3,55
2,51,4,1,37
5,93,5,7,97
3,41,4,2,39
5,92,5,6,94
6,74,6,4,79
4,94,6,6,100
4,75,4,5,74
2,56,4,3,44
6,67,5,6,71
5,67,3,4,55
4,61,3,2,57
6,77,5,4,76
3,46,4,3,46
4,54,4,3,60
4,71,4,4,65
4,50,2,1,34
4,63,4,3,64
2,42,3,-1,26
4,69,4,4,59
2,45,3,0,41
6,97,5,6,90
4,41,4,1,30
3,53,2,3,40
4,80,5,5,70
4,57,3,2,60
6,90,6,6,89
5,83,6,5,77
3,70,4,4,57
4,52,3,3,51
4,65,4,2,64
4,83,4,3,79
3,51,2,3,46
3,57,3,5,55
4,48,3,2,32
5,88,6,4,92
5,60,5,6,58
5,87,4,4,76
5,88,6,5,87
5,92,5,6,91
5,95,5,6,100
4,79,4,4,67
4,82,4,6,82
3,63,2,1,50
4,73,5,6,83
2,47,2,2,44
3,83,3,5,75
7,92,5,6,88
4,72,3,5,73
4,62,2,1,63
5,52,4,4,42
6,93,6,6,98
5,92,7,7,98
6,88,6,5,91
4,53,2,1,38
4,53,5,4,41
5,55,4,5,56
5,88,7,7,82
5,77,6,5,75
4,97,5,5,100
9,99,7,9,100
5,78,4,4,75
3,65,4,5,55
3,65,5,3,51
1,40,1,0,20
4,71,6,5,81
6,96,6,6,97
3,54,4,5,45
5,91,5,6,94
3,60,2,2,43
2,57,2,3,56
5,69,4,4,64
6,99,7,7,100
7,97,7,8,100
3,52,4,2,39
5,63,3,2,63
4,69,5,4,62
2,41,3,2,27
4,58,4,3,47
5,86,7,8,96
4,83,6,7,78
5,86,6,5,93
4,64,3,4,59
5,89,6,4,87
4,53,2,2,53
2,45,3,0,27
3,51,3,2,40
2,59,2,2,49
3,62,5,2,47
4,69,4,2,64
4,69,4,3,72
3,77,4,3,82
5,97,6,6,90
4,69,4,3,67
6,80,4,5,83
4,69,4,5,57
6,96,4,5,100
6,97,5,5,100
4,75,4,4,69
6,88,7,7,97
5,73,6,5,82
3,55,2,1,52
4,63,6,6,67
4,53,2,1,39
4,65,5,4,53
2,47,2,2,47
3,53,2,3,39
4,70,4,4,73
3,41,2,2,27
7,87,6,8,85
2,43,4,3,41
2,40,3,0,23
5,94,6,7,95
4,59,3,4,51
7,98,6,8,94
4,53,4,3,45
6,79,5,4,88
4,64,3,3,64
8,99,7,8,100
4,64,4,2,53
3,42,3,1,42
5,44,3,3,46
3,77,5,3,67
6,93,6,6,91
4,65,4,3,56
4,79,6,4,73
4,77,5,6,72
3,77,3,4,62
3,43,2,1,25
4,46,4,1,45
6,69,6,5,62
4,69,6,5,73
7,95,5,7,100
4,58,5,2,53
5,78,6,5,78
3,74,3,3,71
6,79,5,6,78
4,72,5,4,80
4,72,4,6,66
4,53,3,2,45
5,77,4,5,80
3,49,4,3,44
5,96,4,5,85
4,67,3,4,71
4,53,3,1,55
5,75,4,6,84
4,77,5,5,66
5,55,5,5,50
8,99,8,8,100
5,60,4,4,57
3,67,4,2,63
4,72,4,3,73
3,45,2,4,46
6,80,5,6,86
3,54,2,3,53
4,83,4,6,76
3,42,3,1,43
5,82,5,5,90
5,86,5,6,77
3,74,4,5,63
3,53,4,4,46
3,41,1,0,33
3,68,4,3,65
4,43,4,0,26
5,65,5,3,54
6,90,5,6,99
2,51,4,2,54
3,41,2,0,34
2,56,3,1,51
5,74,3,6,76
3,49,3,2,52
6,87,7,8,88
2,61,4,3,62
6,80,4,5,82
4,82,4,7,89
3,60,3,2,62
2,54,3,3,54
5,74,3,5,67
6,87,5,5,95
2,60,4,1,55
4,60,5,3,66
3,60,3,5,56
9,99,7,7,100
4,83,4,6,73
5,71,3,5,69
4,94,6,7,89
4,44,4,0,27
3,78,3,3,64
2,48,4,3,36
6,92,4,6,100
3,57,4,2,46
3,60,4,3,58
3,47,2,3,43
5,83,4,5,80
5,91,6,6,85
5,73,6,4,80
4,49,4,2,46
4,90,5,4,80
4,80,6,7,86
6,96,5,4,86
3,63,5,4,69
5,79,4,3,68
4,63,5,4,70
6,95,6,6,95
3,71,4,4,57
6,95,4,8,100
5,72,6,4,64
3,77,5,4,80
6,83,4,4,82
7,96,5,6,99
7,95,5,6,100
6,90,6,6,98
